Account Info - 30-11-2020
Account  ;1234567890986 ; EUR  ;ORDEM1 ;DraftAccount ;
Start Date ;03-11-2020
End Date ;03-11-2020
Date ;Value Date ;Description ;Draft ;Credit ;Accounting balance ;Available balance
31-08-2013 ;31-08-2013 ;SUMMARY ;-3100.0 ;3200.0 ;3001.52 ;3001.52
30-09-2013 ;30-09-2013 ;SUMMARY ;-3100.0 ;3200.0 ;3101.52 ;3101.52
31-10-2013 ;31-10-2013 ;SUMMARY ;-3100.0 ;3200.0 ;3201.52 ;3201.52
30-11-2013 ;30-11-2013 ;SUMMARY ;-3100.0 ;3200.0 ;3301.52 ;3301.52
31-12-2013 ;31-12-2013 ;SUMMARY ;-1875.98 ;0.0 ;1425.54 ;1425.54
31-01-2014 ;31-01-2014 ;SUMMARY ;-600.65 ;600.0 ;1424.8899999999999 ;1424.8899999999999
01-11-2020 ;01-11-2020 ;PURCHASE ;-100.0 ;0.0 ;1324.8899999999999 ;1324.8899999999999
03-11-2020 ;03-11-2020 ;LOW VALUE ;-150.65 ;0.0 ;1174.2399999999998 ;1174.2399999999998
03-11-2020 ;03-11-2020 ;TRANSF ;0.0 ;600.0 ;1774.2399999999998 ;1774.2399999999998
03-11-2020 ;03-11-2020 ;INSTALMENT ;-150.0 ;0.0 ;1624.2399999999998 ;1624.2399999999998
03-11-2020 ;03-11-2020 ;PURCHASE ;-200.0 ;0.0 ;1424.2399999999998 ;1424.2399999999998

